uniprot	level
P21560	8.26E-07
Q12522	3.87E-06
P13517	1.17E-06
P38145	2.67E-06
P39990	4.52E-06
P47035	9.57E-07
Q12496	9.84E-07
Q06523	4.57E-07
P38221	6.00E-06
Q07657	1.05E-06
Q05785	8.47E-08
Q12518	7.00E-07
P28707	3.77E-06
P35189	1.13E-06
Q12443	1.29E-06
P32337	2.30E-06
P36136	4.72E-07
0	6.69E-07
P38235	5.83E-07
P28007	1.58E-06
P32496	1.67E-06
P87262	2.10E-05
P40483	4.79E-07
P32495	1.22E-05
P36035	6.44E-07
P53095	1.28E-06
P28495	2.00E-06
P50101	4.04E-07
P33767	1.11E-06
P31382	3.02E-07
P32353	3.35E-06
0	4.10E-06
P00424	1.70E-06
P32352	3.58E-06
Q03973	1.05E-06
P22696	1.60E-06
Q06287	4.30E-07
P20424	6.83E-08
P53316	5.08E-07
Q04660	1.57E-07
Q07500	7.29E-07
Q04935	1.62E-06
P38628	7.78E-07
P39726	3.36E-06
P02309	1.44E-06
P45978	6.81E-07
P54000	0.000000169
P38787	5.84E-07
Q12466	1.20E-07
P07285	1.12E-06
P38879	2.24E-06
Q12408	4.23E-06
P32897	1.89E-06
P36037	4.97E-07
Q08193	3.27E-06
P46969	1.92E-06
Q00362	1.88E-06
P32790	1.47E-06
P47160	3.40E-07
P48510	7.09E-07
Q05567	1.36E-06
Q04175	3.58E-07
P53721	4.33E-07
P11914	9.71E-07
Q08745	8.39E-06
P10662	2.04E-07
P38828	3.87E-07
P34160	2.55E-07
P32445	3.66E-06
P41920	2.97E-06
P40462	6.32E-07
Q08235	1.09E-06
P23615	6.77E-07
P39105	4.50E-07
P53044	3.32E-06
P43590	3.54E-07
0	5.94E-07
P81449	1.57E-06
P38765	7.86E-07
0	5.73E-07
Q08225	3.37E-07
P25043	2.03567E-06
P53292	8.68E-07
P32264	2.43E-07
P47127	1.81E-07
Q05029	8.77E-07
P38325	1.07E-06
Q08926	1.36E-06
P12687	1.53E-06
P40477	1.83E-07
Q12233	4.75E-06
Q08220	1.59E-06
P49435	6.59E-06
P25343	1.31E-06
P49017	0.000000248
Q99257	2.20E-07
Q06338	1.84E-06
0	2.96E-06
P00431	3.27E-07
P40185	2.82E-06
P21827	2.01E-07
P50945	0.000000328
P54781	3.79E-07
P03962	4.35E-07
P40030	1.76E-06
P33421	1.60E-06
P19073	1.26E-06
P15496	1.34E-06
P14743	1.36E-07
P40037	7.31E-06
P11491	5.805E-08
P19881	6.36E-07
P20434	2.88E-07
P32505	2.80E-07
Q06405	3.38E-06
P40582	1.89E-06
P40098	2.86E-07
P47044	1.06E-06
P49687	3.82E-07
Q06685	4.14E-07
0	4.27E-06
P40040	8.03E-07
P53315	2.61E-06
P33755	8.26E-08
P05375	1.49E-07
Q12532	4.32E-08
P14747	2.88E-07
Q04432	5.37E-07
P10507	9.64E-07
P38169	1.23E-06
P40087	3.23E-07
P50109	8.66E-07
P38234	3.87E-07
P43558	9.24E-07
P32902	3.41E-07
P16451	#DIV/0!
P38809	6.41E-07
Q03640	8.14E-08
Q05584	1.32E-06
P40485	1.39E-06
P35719	0.000000639
Q07825	6.60E-07
P40202	0.000000178
(P0CX28-P0CX27)	9.31E-06
Q01855	1.93E-06
P19524	1.58E-07
P47154	1.11E-06
P11938	5.34E-07
P34231	1.45E-06
P33317	6.89E-07
P11075	4.94E-07
P07273	2.21E-07
P06782	2.88E-07
P14164	2.66E-07
P61830	8.76E-06
P35723	3.81E-06
Q2V2P9	2.87E-06
P36147	3.54E-07
Q07589	3.53E-07
P37298	1.11E-06
P36016	5.89E-07
P32915	8.18E-07
P23595	4.62E-07
P38986	1.05E-06
P89886	1.46E-06
Q12525	4.68E-07
P25037	9.53E-07
P37303	4.13E-07
P25045	3.06E-07
P09032	4.26E-08
P36519	1.05E-06
P25369	3.27E-07
P32342	3.30E-06
P43555	7.76E-07
Q12515	1.09E-06
P40580	1.01E-06
P17891	9.07E-07
Q12452	9.86E-07
P38716	9.20E-07
P06102	3.63E-07
P38929	6.06E-07
P80428	1.78E-06
P28273	1.03E-07
P47119	1.48E-06
P53221	2.79E-06
P25340	1.45E-06
P20435	9.75E-07
P38820	6.21E-07
P33333	4.22E-07
P23202	1.43E-06
Q06679	2.93E-06
Q07381	1.26E-07
O13547	4.21E-07
P28625	4.94E-07
P22213	4.33E-07
Q03629	4.255E-07
P51402	1.81E-06
P36516	3.98E-06
P32916	5.88E-07
P21147	7.41E-08
P38217	3.88E-07
P28321	5.31E-07
P43609	4.76E-07
P53889	4.84E-07
Q01477	1.96E-07
P39721	1.02E-06
Q12298	1.56E-06
P53617	1.20E-07
Q08601	2.91E-07
P32904	3.82E-07
P53206	1.58E-06
Q06697	2.57E-07
P00546	3.69E-07
P17157	6.28E-08
Q12000	6.38E-07
P32477	2.23E-07
P41895	0.000000204
P32643	6.95E-07
P47122	3.80E-07
Q12451	1.18E-07
0	4.55E-06
Q12211	5.64E-07
P40032	3.87E-07
P54837	5.79E-07
Q12028	1.33E-07
Q12018	1.14E-07
P53220	2.10E-07
Q99297	7.54E-07
Q02875	1.13E-06
P42846	3.73E-07
Q96VH5	2.11E-06
P38758	1.84E-07
Q01080	9.90E-07
P28272	7.74E-07
P40563	1.89E-07
Q12024	8.92E-07
P54003	3.96E-07
P38174	4.42E-07
P50861	1.36E-06
